Key,Species,Subject,Location,Home,ObservationNumber,Date,Time,Photoperiod,Weather,VisibilityIssue,Arrival,Condition,NumSubjectsInObservation,Interference,AggressionSeen,Dog,Coyote,PuzzleReset,TrialLengthAvg,TrialLengthMax,PropVigilantAvg_RT,PropVigilantMax_RT,LookAtCamera_RT,Touch_RT,WorkTimeAvg_PS,WorkTimeMax_PS,Urinate,TotalExplorationAvg_RT,TotalExplorationMax_RT,ExploratoryDiversityAvg_PS,ExploratoryDiversityMax_PS,ActivityRateAvg_PS,ActivityRateMax_PS,Solve_PS,WasSolveOffCamera,FinalSolverofLocation,Solve_PS_Binary,TrialNumber_RT,TrialNumber_PS,Dummy
Coyote 1_Coyote_Beery Home_1_Alone,Coyote,Coyote 1,Beery Home,Yes,1,11/22/2022,14:49:06,day,clear,No,First,Alone,1,No,No,Yes,Yes,No,15.612,15.612,0.803868819,0.803868819,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,1,NA,NA
Coyote 1_Coyote_Beery Home_2_Alone,Coyote,Coyote 1,Beery Home,Yes,2,11/22/2022,17:06:05,night,clear,No,NotFirst,Alone,1,No,No,Yes,Yes,No,1.98,1.98,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,2,NA,NA
Coyote 1_Coyote_Beery Home_3_Alone,Coyote,Coyote 1,Beery Home,Yes,3,11/22/2022,22:35:43,night,clear,No,NotFirst,Alone,1,No,No,Yes,Yes,No,30.262,30.262,0.495373736,0.495373736,Yes,No,0,0,No,3,3,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,3,NA,NA
Coyote 1_Coyote_Belgum Trail_3_Alone,Coyote,Coyote 1,Belgum Trail,No,3,11/28/2023,23:53:15,night,rainy,No,NotFirst,Alone,1,No,No,Yes,Yes,Yes,26.998,26.998,1,1,Yes,No,0,0,No,0,0,0,0,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,1,NA,NA
Group_Coyote_Belgum Trail_5_Group,Coyote,Group,Belgum Trail,No,5,12/1/2023,7:00:03,day,clear,No,NotFirst,Group,2,No,No,Yes,Yes,Yes,11.129,22.258,0.775406595,0.775406595,No,No,0,0,No,2,2,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,2,NA,NA
Coyote 1_Coyote_Belgum Trail_6_Alone,Coyote,Coyote 1,Belgum Trail,No,6,12/1/2023,7:10:13,day,clear,No,NotFirst,Alone,1,No,No,Yes,Yes,Yes,18.665,18.665,1,1,No,No,0,0,No,0,0,0,0,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,3,NA,NA
Coyote 1_Coyote_Briones 2 North_1_Alone,Coyote,Coyote 1,Briones 2 North,No,1,12/6/2023,22:55:18,night,clear,No,First,Alone,1,No,No,No,Yes,No,5.499,5.499,1,1,No,No,0,0,No,0,0,0,0,0,0,DidNotAttempt,DidNotAttempt,Coyote,NA,1,NA,NA
Coyote 1_Coyote_Briones 2 North_2_Alone,Coyote,Coyote 1,Briones 2 North,No,2,12/7/2023,0:05:10,night,rainy,No,NotFirst,Alone,1,No,No,No,Yes,No,14.366,14.366,0,0,Yes,Yes,6.6,6.6,No,4,4,3,3,0.606060606,0.606060606,Yes,No,Coyote,1,2,1,NA
Coyote 1_Coyote_Chabot Space Center_2_Alone,Coyote,Coyote 1,Chabot Space Center,No,2,11/10/2023,7:56:40,day,clear,No,NotFirst,Alone,1,No,No,No,Yes,No,35.597,35.597,0.157288536,0.157288536,No,Yes,18.999,18.999,No,5,5,3,3,0.263171746,0.263171746,No,No,None,0,1,1,NA
Coyote 1_Coyote_Chabot Space Center_4_Alone,Coyote,Coyote 1,Chabot Space Center,No,4,11/11/2023,5:08:52,night,clear,No,NotFirst,Alone,1,No,No,No,Yes,No,28.729,28.729,0,0,No,Yes,20.031,20.031,No,8,8,3,3,0.39938096,0.39938096,No,No,None,0,2,2,NA
Group_Coyote_Chabot Space Center_6_Group,Coyote,Group,Chabot Space Center,No,6,11/15/2023,23:26:38,night,clear,No,NotFirst,Group,2,No,No,No,Yes,No,23.5305,41.662,0.739380804,0.705607028,No,No,0,0,No,2,2,1,1,0,0,DidNotAttempt,DidNotAttempt,None,NA,3,NA,NA
Group_Coyote_Huntsinger Home 1_2_Group,Coyote,Group,Huntsinger Home 1,Yes,2,11/24/2022,3:57:21,night,clear,No,NotFirst,Group,2,No,No,No,Yes,No,13.1985,25.098,1,1,Yes,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Red Fox,NA,1,NA,NA
Group_Coyote_Johns Home_5_Group,Coyote,Group,Johns Home,Yes,5,11/24/2022,1:41:21,night,clear,No,NotFirst,Group,2,No,No,No,Yes,No,1.453,2.906,0.757398486,0.757398486,Yes,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,1,NA,NA
Coyote 1_Coyote_Lake Chabot Dumpster_4_Alone,Coyote,Coyote 1,Lake Chabot Dumpster,No,4,12/1/2023,22:31:58,night,clear,No,NotFirst,Alone,1,No,No,No,Yes,No,25.063,25.063,0.13430156,0.13430156,No,Yes,6.132,6.132,No,3,3,2,2,0.489236791,0.489236791,No,No,Raccoon,0,1,1,NA
Coyote 1_Coyote_Lake Chabot Dumpster_9_Alone,Coyote,Coyote 1,Lake Chabot Dumpster,No,9,12/2/2023,3:24:13,night,clear,No,NotFirst,Alone,1,No,No,No,Yes,No,1.932,1.932,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,2,NA,NA
Coyote 1_Coyote_Lake Chabot Dumpster_22_Alone,Coyote,Coyote 1,Lake Chabot Dumpster,No,22,12/4/2023,5:11:15,night,clear,No,NotFirst,Alone,1,No,No,No,Yes,No,105.484,105.484,0.189886618,0.189886618,Yes,Yes,55.828,55.828,No,18,18,3,3,0.322418858,0.322418858,No,No,Raccoon,0,3,2,NA
Coyote 1_Coyote_Lake Chabot Dumpster_23_Alone,Coyote,Coyote 1,Lake Chabot Dumpster,No,23,12/4/2023,6:51:51,night,clear,No,NotFirst,Alone,1,No,No,No,Yes,No,4.632,4.632,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,4,NA,NA
Coyote 1_Coyote_Lake Chabot Valley_2_Alone,Coyote,Coyote 1,Lake Chabot Valley,No,2,12/11/2023,6:58:33,night,clear,No,NotFirst,Alone,1,No,No,No,Yes,No,23.563,23.563,0,0,No,Yes,0.833,0.833,No,3,3,1,1,3.601440576,3.601440576,No,No,None,0,1,1,NA
