"Location","Lat","Long"
"Manatee",37.838156,-122.210054
"Albany Waterfront Trail-Albany Bulb",37.889749,-122.312563
"Gorilla",37.942801,-122.3209
"Salamander",37.933188,-122.32046
"Jaguar",37.808965,-122.221358
"Puffin",37.828543,-122.257263
"Toucan",37.7824258,-122.2123669
"Vicuna",37.88741,-122.21029
"Dolphin",37.7744075,-122.2675184
"Belgum Trail",37.94835,-122.30955
"Chipmunk",37.729005,-122.157691
"Berges Studio",37.816316,-122.2727
"Blake Garden 2",37.91269,-122.28521
"Booker T. Anderson Park",37.91948,-122.32587
"Quail",37.8072335,-122.2937096
"Briones 1 South",37.92933,-122.15976
"Briones 2 North",37.95218,-122.13504
"Bushrod Community Garden",37.845006,-122.264365
"Butterfly Hill",37.95944,-122.30917
"Seahorse",37.849935,-122.254023
"Carquinez",38.01594,-122.15025
"Chabot Space Center",37.81925,-122.18259
"Caribou",37.808212,-122.239443
"Claremont-Clark Kerr Trak",37.86408,-122.24519
"Penguin",37.853646,-122.212138
"Corica Park Golf Course",37.74646,-122.23578
"Crown Memorial State Beach",37.76965,-122.27603
"Seal",37.836047,-122.269
"Pelican",37.8103926,-122.2944294
"Lion",37.913202,-122.313391
"Chinchilla",37.819377,-122.248616
"Giraffe",37.85129,-122.271772
"Gazelle",37.905962,-122.039567
"Foothill Lot",37.87326,-122.24882
"Tiger",37.812188,-122.219098
"Whale",37.761961,-122.232617
"Squirrel",37.813369,-122.202889
"Iguana",37.879796,-122.260315
"Horse",37.826941,-122.241171
"Bison",37.724943,-122.05723
"PrairieDog",37.841392,-122.241592
"Marmot",37.8554234,-122.2730761
"Hilltop Lake Park",37.98424,-122.33052
"Meerkat",37.82243,-122.203413
"Zebra",37.906637,-122.29124
"Huckleberry Botanic Regional Preserve",37.84394,-122.19529
"Beaver",37.92895,-122.30608
"Jean Sweeney Park",37.77901,-122.26488
"John Herbert Davis Park",37.9613339,-122.3527913
"Moose",37.842113,-122.21216
"Kennedy Grove ",37.94629,-122.26331
"Lake Chabot Valley",37.7193948,-122.0967834
"Lake Chabot Dumpster",37.7184218,-122.0984222
"Lawrence Hall of Science",37.87892,-122.24732
"Flamingo",37.845393,-122.282517
"Deer",37.725922,-122.128669
"Llama",37.8245268,-122.261902
"Wombat",37.786196,-122.200324
"Wildebeest",37.985175,-122.334858
"Marina Bay Park",37.91472,-122.34515
"Elk",37.803141,-122.218344
"McKinley Park",37.7706,-122.24444
"McLaughlin Eastshore State Park",37.87153,-122.30742
"Platypus",37.839858,-122.233913
"Metropolitan Golf Links",37.7197482,-122.1930927
"Kangaroo",37.882987,-122.266458
"Miller Knox-Crest Trail",37.91637,-122.37392
"Miller Knox-Pickleweed",37.91243,-122.38757
"Mira Vista Park",37.93756,-122.3211
"Albatross",37.844884,-122.226323
"Monarch Bay Golf Club",37.694999,-122.185248
"Hippo",37.865678,-122.291413
"Sloth",37.878494,-122.275755
"Nicholl Park",37.9314647,-122.3403681
"North Richmond Ballpark",37.96078,-122.36488
"Warthog",38.0093192,-122.2953581
"Donkey",37.7533085,-122.1263676
"Oyster Bay Regional Shoreline",37.706867,-122.194922
"OZ Cali Trail",37.752537,-122.137289
"OZ Creek",37.752737,-122.14673
"OZ SEKI Gate",37.748906,-122.146167
"Elephant",37.980515,-122.291056
"Orangutan",37.761143,-122.16558
"Point Isabel Regional Shoreline",37.89808,-122.32326
"Point Molate Beach Park",37.940785,-122.410266
"Point Pinole East",38.00112,-122.35264
"Point Pinole South",37.99319,-122.35696
"Point Pinole West",38.00415,-122.36557
"Rifle Range Road Trailhead",37.9345,-122.29759
"Roberts Regional-Graham Trail",37.80941,-122.17278
"Panda",37.77776,-122.198793
"Turkey",37.831654,-122.217325
"Badger",37.966222,-122.290044
"Tapir",37.90107,-122.275291
"Walrus",37.91391,-122.320163
"Koala",37.892485,-122.257487
"Lemur",37.740986,-122.249759
"Ferret",37.833482,-122.227752
"Sibley Volcanic Regional Preserve",37.85588,-122.2071
"Skyline Gate Staging Area",37.83056,-122.18439
"Sobrante Ridge Regional Preserve",37.96875,-122.26092
"Porcupine",37.807332,-122.229514
"Sunset View Cemetery",37.90574,-122.2867
"Hare",37.935731,-122.313254
"Temescal Regional Recreation Area",37.846402,-122.231721
"The Dog Social Club Cooperative",37.811808,-122.289412
"Tilden Nature Area-Jewel Lake",37.91272,-122.26971
"Tilden Nature Area-Loop Road Parking",37.9043,-122.260249
"Tilden Regional Park-Arroyo Pkwy",37.889562,-122.234301
"Tilden Regional Park-Lake Anza",37.89683,-122.24945
"Tilden Regional Park-Nimitz Way",37.90568,-122.2481
"Tilden Regional Park-Seaview Trail",37.8822,-122.2234
"Armadillo",37.879725,-122.170592
"UC Gill Tract",37.885859,-122.29775
"UCB Women's Faculty Club",37.872173,-122.255292
"University Village Community Garden",37.883692,-122.305614
"Urban Tilth's Edible Forest",37.931366,-122.3539389
"Tortoise",37.76017,-122.23532
"Wildcat Canyon Regional Park",37.95303,-122.32061
"Wildcat Marsh Staging Area",37.95885,-122.3759
"Turtle",37.842845,-122.28681
"Cougar",37.875349,-122.273254
"Hedgehog",37.772388,-122.150877
"YES Nature to Neighborhoods",37.934844,-122.339648
